Channel1Templates,Channel2Templates,Instructions. Copy Each Column Into the CSV for DataValidation. Each Column will be a Channel of the NN.
HASTE,SAG,
PSIR,COR,
TWI,TRA,
CIN,SAX,
LOC,4CH,
PCM,3CH,
PCP,2CH,
MOLLI,AO,
MOLLI_PSIR,RPA,
MOLLI_T1S,LPA,
MOLLI_SPSIR,MPA,
MOLLI_ERR,SVC,
MOLLI_T1,IVC,
MOLLI_ECV,DAO,
,TRI,
,RVOT,
,MULTI,
